#+TITLE: NATUURKUNDE HAVO: VEELGESTELDE VRAGEN 2024-2025
#+STARTUP: hidestars
#+OPTIONS: ^:nil
# #+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-readtheorg.setup
#+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-bigblow.setup
# #+HTML_HEAD: <link rel="stylesheet" href="https://sandyuraz.com/styles/org.min.css">
#+OPTIONS: num:nil
#+options: num:nil

* Hd1
** Hd1.txt
|#| Vraag                                                                                                   | Antwoord                   |
| 45 | Wat gebeurt er met het beeld wanneer lens A wordt vervangen door lens B, als lens B een grotere diameter heeft? | Het door lens B gevormde beeld zal doorgaans niet veel verschillen van het beeld gevormd door lens A qua scherpte, maar lens B kan mogelijk een groter gezichtsveld bieden door de grotere diameter. |
| 46 | Hoe verschilt het beeld dat door lens C wordt gevormd van het beeld dat door lens B wordt gevormd, als lens C een grotere brandpuntsafstand heeft? | Het beeld gevormd door lens C zal verder van de lens worden geplaatst dan het beeld gevormd door lens B, omdat lens C een grotere brandpuntsafstand heeft. |
| 47 | Hoe beïnvloedt een verandering in de voorwerpsafstand de lineaire vergroting? | Een verandering in de voorwerpsafstand resulteert in een verandering van de beeldafstand en daarmee in een verandering van de lineaire vergroting. |
| 48 | Wat gebeurt er met de vergroting als de lens wordt uitgeschoven? | De lineaire vergroting neemt toe als de lens wordt uitgeschoven omdat de beeldafstand toeneemt. |
| 49 | Wat is de sterkte van een lens en hoe wordt deze uitgedrukt? | De sterkte van een lens is de omgekeerde waarde van de brandpuntsafstand en wordt uitgedrukt in dioptrieën (dpt). |
| 50 | Hoe bereken je de afstand tussen een toren en de lens van een fototoestel om een scherp beeld te krijgen als de brandpuntsafstand bekend is? | De afstand tussen de toren en de lens kan berekend worden door de lenzenformule toe te passen met de gegeven brandpuntsafstand en gewenste beeldafstand. |
| 51 | Wat is de effect van een grotere lensdiameter op de beeldvorming? | Een grotere lensdiameter kan leiden tot een grotere hoeveelheid binnenvallend licht en daardoor een helderder beeld, maar verandert niet direct de vergroting of scherpte van het beeld. |
| 52 | Hoe wordt de sterkte van een lens berekend en uitgedrukt? | De sterkte van een lens wordt berekend als de omgekeerde waarde van de brandpuntsafstand en uitgedrukt in dioptrieën (dpt). |
| 53 | Waarom moet de beamer opnieuw scherpgesteld worden als het scherm wordt verschoven? | Na het verschuiven van het scherm verandert de beeldafstand, waardoor de beamer opnieuw moet worden scherpgesteld om een scherp beeld te verkrijgen. |
| 54 | Hoe kan interferentie worden waargenomen met geluid? | Interferentie bij geluid kan worden waargenomen wanneer geluidsgolven van verschillende bronnen elkaar versterken of uitdoven, wat resulteert in variaties in geluidssterkte. |
| 55 | Wat gebeurt er met de frequentie van rood laserlicht als het door een glasplaat valt?           | De frequentie verandert niet.                                            |
| 56 | Hoe verandert de golflengte van laserlicht in glas vergeleken met lucht?                         | De golflengte wordt kleiner in glas.                                      |
| 57 | Wat speelt een belangrijke rol bij het verklaren van het foto-elektrisch effect?                  | Het foto-elektrisch effect wordt verklaard door het bestaan van fotonen. |
| 58 | Hoe heet het effect waarbij een lichtbundel elektronen uit metaal kan vrijmaken?                  | Het foto-elektrisch effect.                                               |
| 59 | Wat gebeurt er als de frequentie van het licht niet hoog genoeg is bij het foto-elektrisch effect? | Er komen geen elektronen vrij uit het metaal.                             |
| 60 | Wat betekent het als een element een emissiespectrum heeft met specifieke lijnen?                 | Het betekent dat het element fotonen met specifieke energieën uitzendt.   |
| 61 | Hoe kan een absorptiespectrum worden waargenomen?                                                | Door het bestuderen van het licht dat door een stof heen gaat en het ontbreken van specifieke golflengten. |
| 62 | Wat gebeurt er met de absorptielijnen in het spectrum van licht dat door een gaswolk gaat?        | Ze kunnen verschuiven of veranderen door het gas in de wolk.             |
| 63 | Wat is het dopplereffect bij licht?                                                                | Het verschijnsel waarbij de frequentie van licht verandert door beweging van de lichtbron. |
| 64 | Wat is het effect op het spectrum van een ster die van de aarde af beweegt?                      | Het spectrum verschuift naar lagere frequenties, wat een roodverschuiving veroorzaakt. |
| 65 | Hoe kun je het absorptiespectrum van een element gebruiken in sterrenkunde?                       | Door het te vergelijken met emissiespectra om de samenstelling van sterren te bepalen. |
| 66 | Waarom is de kleur van licht bij een cd afhankelijk van de hoek van waarnemen?                    | Dit komt door interferentie van lichtstralen die weerkaatst worden door de sporen op de cd. |
| 67 | Wat zie je op een cd wanneer je een laserlicht met een golflengte van 633 nm gebruikt?            | Een patroon van gekleurde lijnen door interferentie.                      |
| 68 | Wat is de reden voor het zien van een continu spectrum bij een dvd?                              | Het continu spectrum ontstaat door de verschillende golflengten van het witte licht die door de dvd worden verspreid. |
| 69 | Hoe worden de absorptielijnen in een absorptiespectrum veroorzaakt?                              | Door absorptie van specifieke golflengten van licht door atomen in een stof. |
| 70 | Wat is het verschil tussen een continu spectrum en een lijnenspectrum?                           | Een continu spectrum bevat alle kleuren, terwijl een lijnenspectrum specifieke lijnen heeft. |
| 71 | Wat kun je afleiden uit de absorptielijnen van een ster ten opzichte van het zonnespectrum?       | Je kunt bepalen welke elementen in de ster aanwezig zijn.                |
| 72 | Wat gebeurt er met de golflengte van licht als de ster naar de aarde toe beweegt?                 | De golflengte verkort, wat een blauwverschuiving veroorzaakt.              |
| 73 | Hoe helpt spectraalanalyse bij het bestuderen van sterren?                                         | Het helpt bij het identificeren van elementen en het begrijpen van de sterrevolutie. |
| 74 | Wat is de functie van de constante van Planck in de formule van fotonenenergie?                   | Het bepaalt de energie van een foton op basis van de frequentie van het licht. |
| 75 | Hoe kun je de snelheid van een ster ten opzichte van de aarde berekenen met het dopplereffect?    | Door de verschuiving van de golflengte van het licht te meten.            |
| 76 | Waarom heeft een grotere telescoop een betere resolutie?                                          | Omdat een grotere telescoop meer licht opvangt en beter in staat is om details te onderscheiden. |
| 77 | Waarom zijn er absorptielijnen in het zonnespectrum?                                                                                                       | Absorptielijnen ontstaan doordat bepaalde golflengtes van licht worden geabsorbeerd door gassen in de zonnesatmosfeer.         |
| 78 | Waarom is helium eerder op de zon ontdekt dan op aarde?                                                                                                      | Helium werd op aarde pas later ontdekt omdat het niet op aarde voorkomt, maar wel in de zonnespectrum zichtbaar is.           |
| 79 | Een ster vertoont extra absorptielijnen in het gele gebied (rond 600 nm). Kan dit veroorzaakt worden door een wolk koud waterstofgas? Gebruik BINAS tabel.     | Ja, koud waterstofgas kan absorptielijnen veroorzaken rond deze golflengte. BINAS tabel toont de absorptielijnen van waterstof aan.|
| 80 | Bewegen vrijwel alle sterrenstelsels van ons af?                                                                                                                | Ja, ze vertonen roodverschuiving, wat aangeeft dat ze zich van ons af bewegen.            |
| 81 | Is er een verband tussen de verschuiving en de afstand tot het sterrenstelsel?                                                                                 | Ja, hoe verder een sterrenstelsel, hoe sterker de verschuiving.                           |
| 82 | Bewegen verre sterrenstelsels sneller of langzamer van ons af dan dichtbij gelegen sterrenstelsels?                                                            | Verre sterrenstelsels bewegen sneller van ons af dan dichtbij gelegen sterrenstelsels.    |
| 83 | Waarom is de Hubble-telescoop beter voor spectra dan telescopen op aarde?                                                                                       | Omdat de Hubble-telescoop zich boven de aardatmosfeer bevindt, waar geen atmosferische verstoringen zijn.                     |
